project,tag,mutation,injected,expected_hits,actual_hits,build_command,build_exit,test_command,cargo_exit,tests_passed,tests_failed,tests_total,baseline_total_equal,completed,outcome,setter_test_calls,d2_test_bases_below_2_32,pmpm_rlib_sha256,rlib_sha_changed,pmpm_test_binary_sha256,test_binary_sha_changed
rustsbi,baseline,clean,no,0,0,cargo_test_--no-run_--no-fail-fast,0,cargo_test_--no-fail-fast,0,209,0,209,baseline,yes,BASELINE,0,n/a,c41138c82f22cd07ba0c3718c533c46ddff228caa3c94d729c3ce5aa45b28b1f,baseline,5096dc8791d7f9d3f267d4d334e32bbb6fcaf2ff2f79dde336c31419deae25b1,baseline
rustsbi,D1_pmpcfg_mod4,pmpcfg_setter_idx_mod8_to_mod4,yes,1,1,cargo_test_--no-run_--no-fail-fast,0,cargo_test_--no-fail-fast,0,209,0,209,yes,yes,NOT_EXERCISED_BY_DEFAULT_TESTS,0,n/a,d625763f53426280b5700943ca6d70f3aa0ae9bed93d74b49006f072899a5e65,yes,5096dc8791d7f9d3f267d4d334e32bbb6fcaf2ff2f79dde336c31419deae25b1,no
rustsbi,D2_napot_base_low32,napot_base_zero_extend_low32,yes,1,1,cargo_test_--no-run_--no-fail-fast,0,cargo_test_--no-fail-fast,0,209,0,209,yes,yes,SURVIVED_NONTRIGGERING_INPUT,0,yes,3bc88c36e0ac09c9e297e894e1f40449eb10a785d24c668c35b556547c9c9e77,yes,8bf6aa76ba76703eaeca9e92a8074ec88437c856c3d79798e9d30e5f75b94290,yes
rustsbi,D3_high_bank_to_cfg0,high_entries_pmpcfg2_to_pmpcfg0,yes,1,1,cargo_test_--no-run_--no-fail-fast,0,cargo_test_--no-fail-fast,0,209,0,209,yes,yes,NOT_EXERCISED_BY_DEFAULT_TESTS,0,n/a,846e0d37bd72e89b3526573e585e8d72687935f0050cc47da6f76a8b92cc5fac,yes,5096dc8791d7f9d3f267d4d334e32bbb6fcaf2ff2f79dde336c31419deae25b1,no
