project,tag,target_file,patched_object,injected,expected_hits,actual_hits,clean_exit,build_exit,qemu_exit,suites_seen,tests_total,tests_failed,baseline_count_match,completed,post_test_runtime_error,runtime_error_count,outcome,obj_sha_changed,firmware_sha_changed
opensbi,baseline,-,-,no,0,0,0,0,124,8,41,0,n/a,yes,no,0,BASELINE_PASS,baseline,baseline
opensbi,d1_pmpcfg_byte_fold,lib/sbi/sbi_hart_pmp.c,build/lib/sbi/sbi_hart_pmp.o,yes,1,1,0,0,124,8,41,0,yes,yes,no,0,NOT_REJECTED,yes,yes
opensbi,d2_napot_base_low32,lib/sbi/sbi_pmp.c,build/lib/sbi/sbi_pmp.o,yes,1,1,0,0,124,8,41,0,yes,yes,no,0,NOT_REJECTED,yes,yes
opensbi,d3_pmpcfg_high_to_low_bank,lib/sbi/sbi_hart_pmp.c,build/lib/sbi/sbi_hart_pmp.o,yes,1,1,0,0,124,8,41,0,yes,yes,yes,2,CAUGHT_BY_POST_TEST_RUNTIME_PATH,yes,yes
