subject,revision_or_snapshot,layer,mutation,source_site,evaluation,target_in_evaluated_artifact,cases_reached,cases_failed,outcome,detail
OpenSBI,262571217c75c649115633d8075cb6a40d940733,concrete_source,remove NAPOT mask shift,sbi_pmp.c:sbi_pmp_encode,SBIUnit under QEMU,yes,41,0,MISSED,mutated object and firmware hashes changed
RustSBI,2ec490f7a412be79edd677f08f3f93d12a91adfa,concrete_source,remove NAPOT mask shift,library/pmpm/src/lib.rs:encode_pmp_addr,cargo test --no-fail-fast,yes,209,1,CAUGHT,test_encode_decode_napot failed
SeSBI,sha256:7b57908ec423058d4daeb35c8a9bb119ea079456d112e26166d2195e87256e7f,concrete_source,remove NAPOT mask shift,SeSBI-code/sbi/sbi_main.c:sbi_set_pmp,existing build and QEMU boot/snapshot/base-probe smoke,yes,NA,NA,SURVIVED_SMOKE,boot and base probe completed and pmpaddr1 changed from 0x20007fff to 0x2000ffff without an existing failure signal
SeSBI,sha256:7b57908ec423058d4daeb35c8a9bb119ea079456d112e26166d2195e87256e7f,added_concrete_oracle,remove NAPOT mask shift,SeSBI-code/sbi/sbi_main.c:sbi_set_pmp,explicit expected-value snapshot oracle,yes,1,1,CAUGHT,mutation-specific experiment oracle rejected pmpaddr1=0x2000ffff
SeSBI,Dafny_PmpEncodingModel,paired_formal_model,size/8-1 to size/4-1,experiments/A_detection_matrix/dafny_inject/napot_buggy.dfy,dafny verify,yes,308 obligations,1 error,CAUGHT,clean model 308 verified 0 errors; mutant 307 verified 1 error
SeSBI,Isabelle_SeSBI_PMP_NAPOT,paired_formal_model,drop_bit 1 addrmask to addrmask,isabelle-SeSBI/SeSBI_PMP_NAPOT.thy:pmp_encode_napot,Isabelle SeSBI_PMP session build,yes,NA,proof failures,CAUGHT,clean session passed; mutant failed NAPOT and RawDecode proofs
